No.;Tanggal;Delik;Sektor;Instansi;Unit Kerja;Provinsi;Kabupaten/Kota;Tahun;Kode Kabupaten;Kode Provinsi
1;03/03/14 00.00;Penyuapan;YUDIKATIF;PENGADILAN TINGGI DKI JAKARTA;PENGADILAN TINGGI DKI JAKARTA;DKI JAKARTA;JAKARTA PUSAT;2013;3173;3173
2;20/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2013;11;1171
3;12/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI BANTEN;;NUSA TENGGARA TIMUR;---;0;#N/A;5371
4;16/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEJAKSAAN TINGGI SULAWESI UTARA;KEJAKSAAN TINGGI SULAWESI UTARA;SULAWESI UTARA;MINAHASA UTARA;2006;7106;7171
5;13/05/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;;KEMENTERIAN PEKERJAAN UMUM;KEMENTERIAN PEKERJAAN UMUM;JAWA TIMUR;BOJONEGORO;2013;3522;7835
6;24/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2013;11;1171
7;03/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;DKI JAKARTA;JAKARTA PUSAT;2013;3173;3173
8;28/01/14 00.00;Penyuapan;;PEMERINTAH KOTA BIMA;PEMERINTAH KOTA BIMA;NUSA TENGGARA BARAT;BIMA;2013;5206;5271
9;05/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN LOMBOK TENGAH;PEMERINTAH KABUPATEN LOMBOK TENGAH;NUSA TENGGARA BARAT;LOMBOK TENGAH;2013;5202;5271
10;20/02/14 00.00;Pemerasan;;PEMERINTAH KOTA SALATIGA;;JAWA TENGAH;SALATIGA;2013;3373;3374
11;29/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PT. PERUSAHAAN LISTRIK NEGARA;PT. PERUSAHAAN LISTRIK NEGARA;JAWA TENGAH;SEMARANG;2010;3322;3374
12;03/12/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN JEPARA;PEMERINTAH KABUPATEN JEPARA;NUSA TENGGARA TIMUR;---;2014;#N/A;5371
13;05/03/14 00.00;Penyuapan;-;MAHKAMAH KONSTITUSI;MAHKAMAH KONSTITUSI;NUSA TENGGARA BARAT;BIMA;2013;5206;5271
14;14/02/14 00.00;Penyuapan;;KEJAKSAAN TINGGI KEPULAUAN BANGKA BELITUNG;;KEPULAUAN BANGKA BELITUNG;BANGKA SELATAN;2013;1905;1971
15;11/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;DKI JAKARTA;JAKARTA PUSAT;2003;3173;3173
16;03/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;JAWA BARAT;BANDUNG;2003;3204;3273
17;07/03/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;;PEMERINTAH PROVINSI KALIMANTAN TENGAH;PEMERINTAH PROVINSI KALIMANTAN TENGAH;KALIMANTAN TENGAH;PALANGKA RAYA;2007;6271;6271
18;20/02/14 00.00;Penyuapan;-;PEMERINTAH PROVINSI JAMBI;PEMERINTAH PROVINSI JAMBI;JAMBI;JAMBI;2012;1571;1571
19;29/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN GORONTALO;DINAS PU/KIMPRASWIL KABUPATEN GORONTALO;NUSA TENGGARA TIMUR;---;2005;#N/A;5371
20;07/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN MUSI BANYUASIN;PEMERINTAH KABUPATEN MUSI BANYU ASIN;SUMATERA SELATAN;MUSI BANYUASIN;2013;1606;1671
21;14/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN DEMAK;;JAWA TENGAH;DEMAK;2004;3321;3374
22;25/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN BARITO KUALA;;KALIMANTAN SELATAN;BARITO KUALA;2013;6304;6371
23;24/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN TAPANULI TENGAH;;SUMATERA UTARA;TAPANULI TENGAH;2011;1204;1275
24;26/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PT. HUTAMA KARYA;PT. HUTAMA KARYA;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2013;11;1171
25;05/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. TABUNGAN ASURANSI PENSIUN;;DKI JAKARTA;JAKARTA PUSAT;2009;3173;3173
26;28/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEMENTERIAN KEUANGAN;;DKI JAKARTA;JAKARTA PUSAT;2003;3173;3173
27;04/11/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;BADAN PELAKSANA KEGIATAN USAHA HULU MIGAS (BP MIGAS);BADAN PELAKSANA KEGIATAN USAHA HULU MIGAS (BP MIGAS);JAWA BARAT;DEPOK;2010;3276;3273
28;10/11/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;DEWAN PERWAKILAN RAKYAT DAERAH PROVINSI JAWA TENGAH;;JAWA TENGAH;SEMARANG;2010;3322;3374
29;11/03/14 00.00;Penyuapan;EKSEKUTIF;KEMENTERIAN KEHUTANAN;KEMENTERIAN KEHUTANAN;JAMBI;JAMBI;2011;1571;1571
30;17/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEPOLISIAN DAERAH SULAWESI UTARA;;SULAWESI UTARA;MANADO;2007;7171;7171
31;19/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEPOLISIAN DAERAH SULAWESI UTARA;;SULAWESI UTARA;MANADO;2007;7171;7171
32;11/03/14 00.00;Penyuapan;;MAHKAMAH AGUNG;;JAMBI;JAMBI;2011;1571;1571
33;20/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN LANGKAT;DINAS KESEHATAN KABUPATEN LANGKAT;SUMATERA UTARA;LANGKAT;2012;1213;1275
34;06/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN LAMPUNG UTARA;DINAS PU/KIMPRASWIL KABUPATEN LAMPUNG UTARA;LAMPUNG;LAMPUNG UTARA;2012;1806;1871
35;14/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KOTA PALANGKA RAYA;PEMERINTAH KOTA PALANGKA RAYA;KALIMANTAN TENGAH;PALANGKA RAYA;2012;6271;6271
36;11/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;DKI JAKARTA;JAKARTA UTARA;2007;3175;3173
37;19/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN PENDIDIKAN NASIONAL;--;SUMATERA UTARA;MEDAN;2008;1275;1275
38;17/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN SINTANG;;KALIMANTAN BARAT;SINTANG;2002;6107;6171
39;13/03/14 00.00;Pemerasan;;;;SULAWESI UTARA;BOLAANG MONGONDOW;0;7101;7171
40;26/03/14 00.00;Pemerasan;;MAHKAMAH AGUNG;MAHKAMAH AGUNG;RIAU;ROKAN HULU;2013;1407;1471
41;07/03/14 00.00;Pemerasan;;PEMERINTAH KABUPATEN POSO;;SULAWESI TENGAH;POSO;2014;7204;7271
42;27/01/14 00.00;Gratifikasi;-;KEPOLISIAN RESOR KOTA JAKARTA UTARA;;DKI JAKARTA;JAKARTA UTARA;2014;3175;3173
43;14/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN SELUMA;;BENGKULU;SELUMA;2011;1705;1771
44;20/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KABUPATEN PAKPAK BHARAT;PEMERINTAH KABUPATEN PAKPAK BHARAT;SUMATERA UTARA;PAKPAK BHARAT;2005;1216;1275
45;08/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;BUMN;PERUM PERCETAKAN NEGARA REPUBLIK INDONESIA (PNRI);PERUM PERCETAKAN NEGARA REPUBLIK INDONESIA (PNRI);DKI JAKARTA;JAKARTA PUSAT;2012;3173;3173
46;19/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KOTA SURABAYA;PEMERINTAH KOTA SURABAYA;JAWA TIMUR;SURABAYA;2007;3578;7835
47;19/03/14 00.00;Pemerasan;;PEMERINTAH KOTA BATAM;DINAS PU/KIMPRASWIL KOTA BATAM;KEPULAUAN RIAU;BATAM;2013;2171;2171
48;19/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KOTA BENGKULU;PEMERINTAH KOTA BENGKULU;BENGKULU;BENGKULU;2004;1771;1771
49;07/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN NGAWI;;JAWA TIMUR;NGAWI;0;3521;7835
50;15/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN KAMPAR;PEMERINTAH KABUPATEN KAMPAR;RIAU;KAMPAR;2003;1406;1471
51;01/04/14 00.00;Penyuapan;-;PERUM LEMBAGA PENYELENGGARA PELAYANAN NAVIGASI PENERBANGAN INDONESIA (LPPNPI);;BANTEN;TANGERANG;2014;3603;3604
52;04/03/14 00.00;Penyuapan;;PEMERINTAH KOTA DEPOK;DINAS PENDIDIKAN KOTA DEPOK;JAWA BARAT;DEPOK;2013;3276;3273
53;28/02/14 00.00;Penyuapan;EKSEKUTIF;KANTOR MENTERI NEGARA PENDAYAGUNAAN APARATUR NEGARA;KANTOR MENTERI NEGARA PENDAYAGUNAAN APARATUR NEGARA;SUMATERA UTARA;NIAS SELATAN;2013;1214;1275
54;08/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;YUDIKATIF;KEJAKSAAN NEGERI TANJUNG PINANG;KEJAKSAAN NEGERI TANJUNG PINANG;KEPULAUAN RIAU;TANJUNG PINANG;2009;2172;2171
55;15/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN KAMPAR;;RIAU;KAMPAR;2003;1406;1471
56;14/03/14 00.00;Penyuapan;;PEMERINTAH KABUPATEN LEBAK;PEMERINTAH KABUPATEN LEBAK;BANTEN;LEBAK;2013;3602;3604
57;27/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI JAMBI;PEMERINTAH PROVINSI JAMBI;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2011;11;1171
58;07/05/14 00.00;Pemerasan;-;PEMERINTAH PROVINSI KEPULAUAN RIAU;PEMERINTAH PROVINSI KEPULAUAN RIAU;KEPULAUAN RIAU;BATAM;2014;2171;2171
59;03/03/14 00.00;Pemerasan;;PEMERINTAH PROVINSI SULAWESI TENGAH;;SULAWESI TENGAH;PALU;2014;7271;7271
60;02/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN PERHUBUNGAN;DITJEN PERHUBUNGAN UDARA;PAPUA BARAT;KAIMANA;2011;9102;9105
61;11/03/14 00.00;Penyuapan;-;KEMENTERIAN TENAGA KERJA DAN TRANSMIGRASI;KEMENTERIAN TENAGA KERJA DAN TRANSMIGRASI;NUSA TENGGARA TIMUR;---;2010;#N/A;5371
62;23/05/14 00.00;Penyuapan;-;;;JAWA BARAT;BANDUNG;2014;3204;3273
63;28/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN KUTAI KARTANEGARA;;KALIMANTAN TIMUR;KUTAI KARTANEGARA;2010;6403;6471
64;08/05/14 00.00;Perbuatan curang;-;PEMERINTAH KABUPATEN PESAWARAN;DINAS PU/KIMPRASWIL KABUPATEN PESAWARAN;LAMPUNG;PESAWARAN;2012;1809;1871
65;28/03/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;-;KEJAKSAAN NEGERI JAYAPURA;KEJAKSAAN NEGERI JAYAPURA;PAPUA;JAYAPURA;2014;9403;9471
66;26/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEMENTERIAN KESEHATAN;DITJEN PENGENDALIAN PENYAKIT DAN PENYEHATAN LINGKU;DKI JAKARTA;JAKARTA PUSAT;2012;3173;3173
67;09/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;KOMISI PEMBERANTASAN KORUPSI (KPK);KOMISI PEMBERANTASAN KORUPSI (KPK);DKI JAKARTA;JAKARTA SELATAN;2014;3171;3173
68;15/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN TEBO;DINAS PU/KIMPRASWIL KABUPATEN TEBO;JAMBI;TEBO;0;1508;1571
69;17/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PT. PERUSAHAAN LISTRIK NEGARA;;SUMATERA BARAT;SAWAH LUNTO;2010;1373;1371
70;28/03/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;;KEJAKSAAN NEGERI JAYAPURA;KEJAKSAAN NEGERI JAYAPURA;PAPUA;JAYAPURA;2014;9403;9471
71;07/03/14 00.00;Penyuapan;;PEMERINTAH KABUPATEN MUARA ENIM;;SUMATERA SELATAN;MUARA ENIM;2013;1603;1671
72;23/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEMENTERIAN NEGARA PEMBANGUNAN DAERAH TERTINGGAL;KEMENTERIAN NEGARA PEMBANGUNAN DAERAH TERTINGGAL;DKI JAKARTA;JAKARTA SELATAN;2009;3171;3173
73;17/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN BARRU;PEMERINTAH KABUPATEN BARRU;SULAWESI SELATAN;BARRU;2012;7310;7371
74;28/03/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;-;KEJAKSAAN NEGERI JAYAPURA;KEJAKSAAN NEGERI JAYAPURA;PAPUA;JAYAPURA;2014;9403;9471
75;28/03/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;-;KEJAKSAAN NEGERI JAYAPURA;KEJAKSAAN NEGERI JAYAPURA;PAPUA;JAYAPURA;2014;9403;9471
76;09/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;BADAN PELAKSANA KEGIATAN USAHA HULU MIGAS (BP MIGAS);BADAN PELAKSANA KEGIATAN USAHA HULU MIGAS (BP MIGAS);NANGGROE ACEH DARUSALAM;SEMUA KOTA;2008;11;1171
77;17/03/14 00.00;Penyuapan;;PEMERINTAH KABUPATEN PADANG LAWAS UTARA;PEMERINTAH KABUPATEN PADANG LAWAS UTARA;SUMATERA UTARA;PADANG LAWAS UTARA;2012;1220;1275
78;14/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. PERUSAHAAN GAS NEGARA;PT. PERUSAHAAN GAS NEGARA;DKI JAKARTA;JAKARTA SELATAN;2011;3171;3173
79;07/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KOTA PARE-PARE;;SULAWESI SELATAN;PAREPARE;2014;7372;7371
80;04/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN KULON PROGO;;D.I. YOGYAKARTA;KULON PROGO;2003;3401;#N/A
81;16/12/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;-;PEMERINTAH KABUPATEN KEPULAUAN ARU;PEMERINTAH KABUPATEN KEPULAUAN ARU;MALUKU;KEPULAUAN ARU;2007;8105;8171
82;26/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KOTA SIBOLGA;RSUD KOTA SIBOLGA;SUMATERA UTARA;SIBOLGA;2012;1271;1275
83;25/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. PERUSAHAAN LISTRIK NEGARA;;SUMATERA UTARA;TOBA SAMOSIR;2010;1206;1275
84;14/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN LABUHAN BATU;PEMERINTAH KABUPATEN LABUHAN BATU;SUMATERA UTARA;LABUHAN BATU;2012;1207;1275
85;01/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PT. BANK RAKYAT INDONESIA;;DKI JAKARTA;JAKARTA PUSAT;2013;3173;3173
86;24/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEMENTERIAN TENAGA KERJA DAN TRANSMIGRASI;;DKI JAKARTA;JAKARTA SELATAN;2012;3171;3173
87;18/03/14 00.00;Benturan kepentingan dalam pengadaan;;PEMERINTAH PROVINSI RIAU;PEMERINTAH PROVINSI RIAU;RIAU;PEKANBARU;2012;1471;1471
88;28/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN SELAYAR;DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN SELAYAR;SULAWESI SELATAN;SELAYAR;2014;7301;7371
89;29/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;KEPOLISIAN RESOR MADIUN;KEPOLISIAN RESOR MADIUN;JAWA TIMUR;MADIUN;2014;3519;7835
90;13/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. PERUSAHAAN LISTRIK NEGARA;PT. PERUSAHAAN LISTRIK NEGARA;SULAWESI SELATAN;MAKASSAR;2012;7371;7371
91;15/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN MADIUN;;JAWA TIMUR;MADIUN;2005;3519;7835
92;04/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEJAKSAAN TINGGI D I YOGYAKARTA;KEJAKSAAN TINGGI D I YOGYAKARTA;D.I. YOGYAKARTA;YOGYAKARTA;2012;3471;#N/A
93;20/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN BEKASI;;JAWA BARAT;BEKASI;2013;3216;3273
94;14/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN WAJO;;SULAWESI SELATAN;WAJO;2013;7313;7371
95;06/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. PERUSAHAAN LISTRIK NEGARA;PT. PERUSAHAAN LISTRIK NEGARA;SULAWESI SELATAN;MAKASSAR;2007;7371;7371
96;18/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN PANDEGLANG;;BANTEN;PANDEGLANG;0;3601;3604
97;04/03/14 00.00;Penyuapan;;MABES POLRI;MABES POLRI;DKI JAKARTA;JAKARTA UTARA;2013;3175;3173
98;21/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN KONAWE UTARA;;SULAWESI TENGGARA;KONAWE UTARA;2013;7410;7471
99;07/04/14 00.00;Penyuapan;;KEMENTERIAN PEKERJAAN UMUM;;GORONTALO;GORONTALO;2012;7502;7571
100;04/04/14 00.00;Pemerasan;EKSEKUTIF;KEMENTERIAN KEUANGAN;KEMENTERIAN KEUANGAN;DKI JAKARTA;JAKARTA PUSAT;2014;3173;3173
101;01/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. BANK RAKYAT INDONESIA;;DKI JAKARTA;JAKARTA PUSAT;2013;3173;3173
102;11/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;NON PEMERINTAH - SWASTA;;KEPULAUAN BANGKA BELITUNG;PANGKAL PINANG;2000;1971;1971
103;07/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN LANNY JAYA;PEMERINTAH KABUPATEN LANNY JAYA;PAPUA;LANNY JAYA;2010;9430;9471
104;25/03/14 00.00;Pemerasan;;KEPOLISIAN RESOR KOTA MEDAN;;SUMATERA UTARA;MEDAN;2012;1275;1275
105;20/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;DEWAN PERWAKILAN RAKYAT DAERAH PROVINSI D I YOGYAKARTA;;D.I. YOGYAKARTA;YOGYAKARTA;2012;3471;#N/A
106;20/02/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. BANK JABAR BANTEN (BJB);PT. BANK JABAR BANTEN (BJB);JAWA BARAT;BANDUNG;2012;3204;3273
107;21/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN YAHUKIMO;PEMERINTAH KABUPATEN YAHUKIMO;PAPUA;YAHUKIMO;2010;9416;9471
108;26/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEMENTERIAN PENDIDIKAN NASIONAL;KEMENTERIAN PENDIDIKAN NASIONAL;JAWA TIMUR;NGAWI;2012;3521;7835
109;18/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN PANDEGLANG;;BANTEN;PANDEGLANG;0;3601;3604
110;06/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;MABES POLRI;MABES POLRI;DKI JAKARTA;JAKARTA SELATAN;2003;3171;3173
111;05/05/14 00.00;Penyuapan;;PEMERINTAH KABUPATEN BOLAANG MONGONDOW SELATAN;;SULAWESI UTARA;BOLAANG MONGONDOW SELATAN;2014;7110;7171
112;15/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;DKI JAKARTA;JAKARTA PUSAT;2013;3173;3173
113;20/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;BUMN;PT. PERTAMINA;PT. PERTAMINA;DKI JAKARTA;JAKARTA PUSAT;2007;3173;3173
114;04/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. BANK RAKYAT INDONESIA;PT. BANK RAKYAT INDONESIA;DKI JAKARTA;JAKARTA SELATAN;2014;3171;3173
115;17/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN INDRAMAYU;DINAS PU/KIMPRASWIL KABUPATEN INDRAMAYU;JAWA BARAT;INDRAMAYU;2011;3212;3273
116;02/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KOTA JAKARTA SELATAN;;DKI JAKARTA;JAKARTA SELATAN;2013;3171;3173
117;11/04/14 00.00;Pemerasan;;KEJAKSAAN TINGGI LAMPUNG;;LAMPUNG;BANDAR LAMPUNG;2014;1871;1871
118;20/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN MUSI BANYUASIN;DINAS PU/KIMPRASWIL KABUPATEN MUSI BANYU ASIN;SUMATERA SELATAN;MUSI BANYUASIN;2012;1606;1671
119;26/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI NANGGROE ACEH DARUSSALAM;PEMERINTAH PROVINSI NANGGROE ACEH DARUSSALAM;NANGGROE ACEH DARUSALAM;BANDA ACEH;2010;1171;1171
120;24/03/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;;;;NANGGROE ACEH DARUSALAM;SEMUA KOTA;0;11;1171
121;03/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PT. PERUSAHAAN LISTRIK NEGARA;PT. PERUSAHAAN LISTRIK NEGARA;SULAWESI SELATAN;MAKASSAR;2008;7371;7371
122;20/03/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KOTA TANGERANG;PEMERINTAH KOTA TANGERANG;BANTEN;TANGERANG;2005;3603;3604
