No.;Tanggal;Delik;Sektor;Instansi;Unit Kerja;Provinsi;Kabupaten/Kota;Tahun;Kode Kabupaten;Kode Provinsi
1233;15/12/14 00.00;Tindak Pidana lain yang berkaitan dengan Tindak Pidana Korupsi;-;PEMERINTAH KABUPATEN SAMOSIR;PEMERINTAH KABUPATEN SAMOSIR;SUMATERA UTARA;SAMOSIR;2013;1217;1275
1234;06/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;KEMENTERIAN NEGARA BUMN;;DKI JAKARTA;JAKARTA UTARA;2012;3175;3173
1235;03/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN PADANG LAWAS UTARA;;SUMATERA UTARA;PADANG LAWAS UTARA;2009;1220;1275
1236;06/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN BANYUWANGI;;JAWA TIMUR;BANYUWANGI;2006;3510;7835
1237;30/12/14 00.00;Penyuapan;;KEJAKSAAN NEGERI BANYUWANGI;KEJAKSAAN NEGERI BANYUWANGI;JAWA TIMUR;BANYUWANGI;2006;3510;7835
1238;24/12/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN BUTON;;SULAWESI TENGGARA;BUTON;2004;7401;7471
1239;03/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. PERKEBUNAN NUSANTARA XI;PT. PERKEBUNAN NUSANTARA XI;JAWA TIMUR;LUMAJANG;2007;3508;7835
1240;30/12/14 00.00;Penyuapan;-;KEPOLISIAN DAERAH SULAWESI TENGGARA;KEPOLISIAN DAERAH SULAWESI TENGGARA;SULAWESI TENGGARA;KOLAKA;2011;7404;7471
1241;18/12/14 00.00;Penyuapan;-;PEMERINTAH KABUPATEN SIAK;DINAS KEHUTANAN DAN PERKEBUNAN KABUPATEN SIAK;RIAU;SIAK;2014;#N/A;1471
1242;18/11/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA;KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA;JAWA BARAT;BANDUNG;2007;3204;3273
1243;19/12/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;KEMENTERIAN AGAMA;KEMENTERIAN AGAMA;BANTEN;TANGERANG;1996;3603;3604
1244;05/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI DKI JAKARTA;;DKI JAKARTA;JAKARTA BARAT;2003;3174;3173
1245;04/06/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;DKI JAKARTA;JAKARTA SELATAN;2014;3171;3173
1246;30/04/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI DKI JAKARTA;PEMERINTAH PROVINSI DKI JAKARTA;DKI JAKARTA;JAKARTA UTARA;2007;3175;3173
1247;20/05/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PT. ASURANSI JIWASRAYA;PT. ASURANSI JIWASRAYA;DKI JAKARTA;JAKARTA PUSAT;2011;3173;3173
1248;17/12/14 00.00;Penyuapan;-;PEMERINTAH KABUPATEN KETAPANG;;KALIMANTAN BARAT;KETAPANG;2004;6106;6171
1249;10/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI LAMPUNG;PEMERINTAH PROVINSI LAMPUNG;LAMPUNG;LAMPUNG SELATAN;2013;1803;1871
1250;02/01/14 00.00;Gratifikasi;-;KEMENTERIAN LUAR NEGERI;KEMENTERIAN LUAR NEGERI;;;2008;#N/A;#N/A
1251;09/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI PAPUA BARAT;PEMERINTAH PROVINSI PAPUA BARAT;NANGGROE ACEH DARUSALAM;SEMUA KOTA;2012;11;1171
1252;09/06/14 00.00;Penyuapan;;KEMENTERIAN NEGARA PEMBANGUNAN DAERAH TERTINGGAL;KEMENTERIAN NEGARA PEMBANGUNAN DAERAH TERTINGGAL;KALIMANTAN BARAT;KAYONG UTARA;2013;6111;6171
1253;03/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH PROVINSI NANGGROE ACEH DARUSSALAM;;NANGGROE ACEH DARUSALAM;SUBULUSSALAM;2008;1175;1171
1254;03/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH PROVINSI SULAWESI UTARA;PEMERINTAH PROVINSI SULAWESI UTARA;SULAWESI UTARA;MANADO;2006;7171;7171
1255;07/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH PROVINSI JAWA TIMUR;PEMERINTAH PROVINSI JAWA TIMUR;JAWA TIMUR;SURABAYA;2011;3578;7835
1256;17/11/14 00.00;Penyuapan;;PEMERINTAH PROVINSI JAWA TIMUR;PEMERINTAH PROVINSI JAWA TIMUR;JAWA TIMUR;SURABAYA;2014;3578;7835
1257;15/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;EKSEKUTIF;PEMERINTAH KABUPATEN SINTANG;PEMERINTAH KABUPATEN SINTANG;KALIMANTAN BARAT;SINTANG;2011;6107;6171
1258;06/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN KOLAKA;PEMERINTAH KABUPATEN KOLAKA;SULAWESI TENGGARA;KOLAKA;2003;7404;7471
1259;03/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;-;PEMERINTAH KABUPATEN BONDOWOSO;;JAWA TIMUR;BONDOWOSO;2011;3511;7835
1260;22/12/14 00.00;Gratifikasi;;PEMERINTAH KABUPATEN KENDAL;;JAWA TENGAH;KENDAL;2014;3324;3374
1261;13/01/14 00.00;Penyuapan;;KEPOLISIAN DAERAH SUMATERA UTARA;KEPOLISIAN DAERAH SUMATERA UTARA;SUMATERA UTARA;MEDAN;2014;1275;1275
1262;04/12/14 00.00;Penyuapan;EKSEKUTIF;PEMERINTAH KABUPATEN KENDAL;PEMERINTAH KABUPATEN KENDAL;JAWA TENGAH;KENDAL;2014;3324;3374
1263;08/01/14 00.00;Perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara;;PEMERINTAH KABUPATEN NIAS BARAT;PEMERINTAH KABUPATEN NIAS BARAT;SUMATERA UTARA;NIAS BARAT;2013;1225;1275
